mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
brc100d,42,Sparse,0.2,10,1,310230,261403,0.84261,255823,220
brc100d,42,Sparse,0.2,20,1,620460,511368,0.824176,489298,220
brc100d,42,Sparse,0.2,50,1,1551150,1336619,0.861696,1286509,220
brc100d,42,Sparse,0.2,100,1,3102300,2656588,0.856329,2536067,242
brc100d,42,Sparse,0.3,10,1,310230,293279,0.94536,291797,58
brc100d,42,Sparse,0.3,20,1,620460,575134,0.926948,567109,120
brc100d,42,Sparse,0.3,50,1,1551150,1451622,0.935836,1436864,154
brc100d,42,Sparse,0.3,100,1,3102300,2919745,0.941155,2894210,144
brc100d,42,Organic,0.1,10,1,310230,232963,0.750936,199291,50
brc100d,42,Organic,0.1,20,1,620460,430621,0.694035,393464,50
brc100d,42,Organic,0.1,50,1,1551150,1146856,0.739359,1081308,66
brc100d,42,Organic,0.1,100,1,3102300,2244828,0.723601,2099795,64
brc100d,42,Organic,0.2,10,1,310230,259612,0.836837,245623,42
brc100d,42,Organic,0.2,20,1,620460,470776,0.758753,463007,50
brc100d,42,Organic,0.2,50,1,1551150,1264920,0.815472,1245840,66
